yaw_deg,object_class,detection_rate,mean_pixel_error,mean_3d_error
0,washer,0.8,28.693059651909287,nan
0,box,0.4,0.8278389060963443,nan
0,mug,0.0,91.21661534531209,nan
30,washer,0.8,18.4188665485326,nan
30,box,0.8,1.0745855570953182,nan
30,mug,0.2,56.55587696647328,nan
60,washer,1.0,24.53921214036994,nan
60,box,0.8,1.298628790783853,nan
60,mug,0.0,nan,nan
90,washer,1.0,14.533717066441637,nan
90,box,0.8,2.0450309658299455,nan
90,mug,0.0,nan,nan
120,washer,1.0,10.774224667488582,nan
120,box,0.6,0.3403914560556564,nan
120,mug,0.0,nan,nan
150,washer,1.0,20.32650932977275,nan
150,box,0.8,0.911939025483262,nan
150,mug,0.0,73.1257301819293,nan
180,washer,1.0,28.801091299348847,nan
180,box,0.2,0.7900514447401844,nan
180,mug,0.2,54.68281886132417,nan
210,washer,0.8,34.59968623596859,nan
210,box,1.0,13.884661942937653,nan
210,mug,0.0,79.81103237211235,nan
240,washer,0.8,33.74924716795726,nan
240,box,0.8,19.497280795142622,nan
240,mug,0.0,nan,nan
270,washer,0.8,38.76730303829928,nan
270,box,0.6,22.219176611305823,nan
270,mug,0.0,nan,nan
300,washer,1.0,14.662291386418351,nan
300,box,0.6,18.32790560407324,nan
300,mug,0.0,62.044930064182644,nan
330,washer,0.8,47.25167623236775,nan
330,box,0.6,0.6487149603839505,nan
330,mug,0.2,8.818943220733095,nan
